mp_name,party,gender,parliament
Jasmin Lau,PAP,F,15
Jeffrey Siow,PAP,M,14
Jeffrey Siow,PAP,M,15
Jessica Tan Soon Neo,PAP,F,14
Jessica Tan Soon Neo,PAP,F,15
Joan Pereira,PAP,F,13
Joan Pereira,PAP,F,14
Joan Pereira,PAP,F,15
Josephine Teo,PAP,F,11
Josephine Teo,PAP,F,12
Josephine Teo,PAP,F,13
Josephine Teo,PAP,F,14
Josephine Teo,PAP,F,15
K Karthikeyan,NMP,M,14
K Shanmugam,PAP,M,7
K Shanmugam,PAP,M,8
K Shanmugam,PAP,M,9
K Shanmugam,PAP,M,10
K Shanmugam,PAP,M,11
K Shanmugam,PAP,M,12
K Shanmugam,PAP,M,13
K Shanmugam,PAP,M,14
K Shanmugam,PAP,M,15
K Thanaletchimi,NMP,F,14
Keith Chua,NMP,M,14
Kenneth Goh,NMP,M,15
Kenneth Poon,NMP,M,15
Kenneth Tiong Boon Kiat,WP,M,14
Kenneth Tiong Boon Kiat,WP,M,15
Khaw Boon Wan,PAP,M,14
Koh Lian Pin,NMP,M,14
Koh Poh Koon,PAP,M,13
Koh Poh Koon,PAP,M,14
Koh Poh Koon,PAP,M,15
Kok Heng Leun,NMP,M,14
Kuah Boon Theng,NMP,F,15
Kuik Shiao-Yin,NMP,F,14
Kwek Hian Chuan Henry,PAP,M,13
Kwek Hian Chuan Henry,PAP,M,14
Kwek Hian Chuan Henry,PAP,M,15
Lam Pin Min,PAP,M,14
Laurence Lien,NMP,M,14
Lawrence Wong,PAP,M,12
Lawrence Wong,PAP,M,13
Lawrence Wong,PAP,M,14
Lawrence Wong,PAP,M,15
Lee Bee Wah,PAP,F,14
Lee Hong Chuang,PAP,M,14
Lee Hong Chuang,PAP,M,15
Lee Hsien Loong,PAP,M,7
Lee Hsien Loong,PAP,M,8
Lee Hsien Loong,PAP,M,9
Lee Hsien Loong,PAP,M,10
Lee Hsien Loong,PAP,M,14
Lee Hsien Loong,PAP,M,15
Lee Hui Ying,PAP,F,14
Lee Hui Ying,PAP,F,15
Lee Kuan Yew,PAP,M,14
Lee Li Lian,WP,F,14
Lee Yi Shyan,PAP,M,14
Leon Perera,WP,M,14
Leong Mun Wai,PSP,M,14
Liang Eng Hwa,PAP,M,11
Liang Eng Hwa,PAP,M,13
Liang Eng Hwa,PAP,M,14
Liang Eng Hwa,PAP,M,15
Lily Neo,PAP,F,14
Lim Biow Chuan,PAP,M,14
Lim Hng Kiang,PAP,M,14
Lim Sun Sun,NMP,F,14
Lim Swee Say,PAP,M,14
Lim Wee Kiak,PAP,M,14
Lina Chiam,SPP,F,14
Louis Ng Kok Kwang,PAP,M,14
Low Thia Khiang,WP,M,14
Low Wu Yang Andre,WP,M,14
Low Wu Yang Andre,WP,M,15
Low Yen Ling,PAP,M,12
Low Yen Ling,PAP,M,13
Low Yen Ling,PAP,M,14
Low Yen Ling,PAP,M,15
Lui Tuck Yew,PAP,M,14
Mah Bow Tan,PAP,M,14
Mahdev Mohan,NMP,M,14
Mariam Jaafar,PAP,F,14
Mariam Jaafar,PAP,F,15
Mark Chay,NMP,M,14
Mark Lee,NMP,M,15
Mary Liew,NMP,F,14
Masagos Zulkifli B M M,PAP,M,14
Masagos Zulkifli B M M,PAP,M,15
Melvin Yong Yik Chye,PAP,M,14
Melvin Yong Yik Chye,PAP,M,15
Michael Palmer,PAP,M,14
Mohamad Maliki Bin Osman,PAP,M,14
Mohamed Irshad,NMP,M,14
Mohd Fahmi Aliman,PAP,M,14
Mohd Ismail Hussein,NMP,M,14
Muhamad Faisal Bin Abdul Manap,WP,M,14
Murali Pillai,PAP,M,14
Murali Pillai,PAP,M,15
Nadia Ahmad Samdin,PAP,F,14
Nadia Ahmad Samdin,PAP,F,15
Neil Parekh Nimil Rajnikant,NMP,M,14
Neo Kok Beng,NMP,M,15
Ng Chee Meng,PAP,M,14
Ng Chee Meng,PAP,M,15
Ng Eng Hen,PAP,M,14
Ng Ling Ling,PAP,F,14
Ng Shi Xuan,PAP,F,14
Ng Shi Xuan,PAP,F,15
Nicholas Fang,NMP,M,14
Ong Hua Han,NMP,M,14
Ong Teng Koon,PAP,M,14
Ong Ye Kung,PAP,M,13
Ong Ye Kung,PAP,M,14
Ong Ye Kung,PAP,M,15
